d----wx--- lp/fax            0 unit1exercise2/aufwitzse/
d---r----x mail/news         0 unit1exercise2/aufgekrauung/angeklettt/
d--x-w-rw- mail/voice        0 unit1exercise2/zerfahrtest/anschmeckung/anrabarbte/
d--xrw--w- mail/audio        0 unit1exercise2/gehaltung/
d-w----rw- uucp/proxy        0 unit1exercise2/einrenntest/
d-wx---rw- nobody/tape       0 unit1exercise2/aufgekrauung/angeklettt/aufpflumse/
d-wx---rwx news/dip          0 unit1exercise2/vertritts/
d-wxr---w- news/student      0 unit1exercise2/aufgekrauung/enfahrse/ausgesetzs/
d-wxr-xr-- uucp/fax          0 unit1exercise2/angehaltheit/
d-wxr-xrw- lp/mail           0 unit1exercise2/zerfahrtest/verwitzer/
d-wxrwxrw- mail/student      0 unit1exercise2/aufgekrauung/angeklettt/enfahrte/
dr--r--rwx uucp/news         0 unit1exercise2/aufgekrauung/enfahrse/verwitztete/
dr--rwx-w- nobody/floppy     0 unit1exercise2/aufgekrauung/enfahrse/
dr--rwxrwx games/mail        0 unit1exercise2/belaufkeit/
dr-xr--r-- uucp/floppy       0 unit1exercise2/aufgekrauung/
dr-xrw--wx lp/news           0 unit1exercise2/zerfahrtest/anschmeckung/bestehtest/
drw----rw- games/tape        0 unit1exercise2/zerfahrtest/anschmeckung/
drw--w-r-x lp/uucp           0 unit1exercise2/gehaltung/ausgesetzheit/
drw-rw--wx uucp/fax          0 unit1exercise2/aufgekrauung/angeklettt/anpflumtest/
drwxrwx--- proxy/fax         0 unit1exercise2/zerfahrtest/
drwxrwxr-x student/student   0 unit1exercise2/
