d-------wx news/tape         0 unit1exercise3/ausgekaess/zerrenntete/
d---rwxr-- news/uucp         0 unit1exercise3/enpflumtest/aufgepflumtest/
d--S-wxrwx mail/dip          0 unit1exercise3/aufgetritttete/ausstehs/
d--Sr----x news/mail         0 unit1exercise3/ausgekaess/
d--sr-x-w- mail/mail         0 unit1exercise3/enpflumtest/aussprachheit/ausrabarbkeit/
d--xr----- proxy/proxy       0 unit1exercise3/zerwitzheit/
d-wS---r-- lp/audio          0 unit1exercise3/zerwitzheit/anpflumte/angesteher/
d-wSrwx--- uucp/proxy        0 unit1exercise3/aufgetritttete/
d-ws---r-x lp/mail           0 unit1exercise3/enpflumtest/aufgepflumtest/ausgehalter/
d-ws--xrw- uucp/fax          0 unit1exercise3/zerwitzheit/anpflumte/
d-wx----w- nobody/news       0 unit1exercise3/zersinntest/
d-wxr----- lp/voice          0 unit1exercise3/zerhundkeit/
dr---w-r-x student/voice     0 unit1exercise3/enpflumtest/aussprachheit/
dr--rw-rwx mail/fax          0 unit1exercise3/auslaufheit/
dr-S-w-r-- games/dip         0 unit1exercise3/enpflumtest/
drw---x--x uucp/news         0 unit1exercise3/verwarfs/
drwSrw-rwx nobody/proxy      0 unit1exercise3/zerwitzheit/anpflumte/ansitzst/
drwSrwxrw- lp/uucp           0 unit1exercise3/zerwitzheit/anpflumte/auflauftete/
drws----wx student/dip       0 unit1exercise3/enpflumtest/aussprachheit/berennung/
drwsr-xrwx student/voice     0 unit1exercise3/enpflumtest/aussprachheit/auskaest/
drwxrwxr-x student/student   0 unit1exercise3/
